trial,x_mach,y,r_cl,l_shat,log_cold_mass,log_warm_mass,T_cloud,T_floor,chi,t_cool_mix,t_cool_min,grid_dim,stop_time
240711_0.4_1600,0.4152518843916399,1600.6608092470187,0.004,2.4989679118099205e-06,-1.0890920897645553,0.8525636505322415,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,3.124198237261621
240711_0.4_16000,0.4,16006.608092470187,0.04,2.4989679118099205e-06,0.2038841285933939,0.7265179115386295,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.0601123959972663
240711_0.4_1600000,0.4152518843916399,1600660.8092470188,4.0,2.4989679118099205e-06,0.8376990277183985,-0.3845587541183524,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.600102161616884
240711_0.4_160000000,0.4,160066080.92470187,400.0,2.4989679118099205e-06,0.8276290078322338,-0.6983604537426922,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,1.3831862906936507
240711_0.8_320,0.8212168258401494,320.13216184940376,0.0008,2.4989679118099205e-06,-3.277009303082152,-0.1266425776313528,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.473185661338904
240711_0.8_1600,0.8212168258401494,1600.6608092470187,0.004,2.4989679118099205e-06,-3.029535767627351,0.4882965998062382,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,3.40599797694074
240711_0.8_16000,0.8212168258401494,16006.608092470187,0.04,2.4989679118099205e-06,0.3912179217174019,0.7917428418237538,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,4.500125750044198
240711_0.8_1600000,0.8212168258401494,1600660.8092470188,4.0,2.4989679118099205e-06,0.8541972470519904,0.2020708697508172,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,3.000130730373329
240711_0.8_160000000,0.8212168258401494,160066080.92470187,400.0,2.4989679118099205e-06,0.9309730222165836,-0.6780223510842034,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,1.7001719780543672
240715_0.4_16,0.4,16.006608092470188,4e-05,2.4989679118099205e-06,-1.0,-0.2387475158054446,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.4461202241368647
